id,snapshot_id,period,period_type,year,month,account_code,account_name,account_group,actual,target
nr_2022_nr021_uang_muka,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR021_UANG_MUKA,UANG MUKA,aset,4275979040.0,0.0
nr_2022_nr022_pajak_dibayar_dimuka,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR022_PAJAK_DIBAYAR_DIMUKA,PAJAK DIBAYAR DIMUKA,aset,161302545.0,0.0
nr_2022_nr023_biaya_dibayar_dimuka,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR023_BIAYA_DIBAYAR_DIMUKA,BIAYA DIBAYAR DIMUKA,aset,978572905.0,0.0
nr_2022_nr024_total_aktiva_lancar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR024_TOTAL_AKTIVA_LANCAR,TOTAL AKTIVA LANCAR,aset,657132221637.0,0.0
nr_2022_nr025_aktiva_tidak_lancar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR025_AKTIVA_TIDAK_LANCAR,AKTIVA TIDAK LANCAR,aset,229550925740.0,0.0
nr_2022_nr026_aset_lain_lain,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR026_ASET_LAIN_LAIN,ASET LAIN-LAIN,aset,29534282268.0,0.0
nr_2022_nr027_investasi_asosiasi,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR027_INVESTASI_ASOSIASI,INVESTASI DALAM ENTITAS ASOSIASI,aset,17322550188.0,0.0
nr_2022_nr028_kendaraan_disewakan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR028_KENDARAAN_DISEWAKAN,KENDARAAN UNTUK DISEWAKAN,aset,2353715735.0,0.0
nr_2022_nr029_akumulasi_penyusutan_kendaraan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR029_AKUMULASI_PENYUSUTAN_KENDARAAN,AKUMULASI PENYUSUTAN,aset,-5428747883.0,0.0
nr_2022_nr030_nilai_buku_kendaraan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR030_NILAI_BUKU_KENDARAAN,NILAI BUKU,aset,2408575405.0,0.0
nr_2022_nr031_aset_tetap,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR031_ASET_TETAP,ASET TETAP,aset,189203240486.0,0.0
nr_2022_nr032_harga_perolehan_aset_tetap,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR032_HARGA_PEROLEHAN_ASET_TETAP,HARGA PEROLEHAN AKTIVA TETAP,aset,229956736753.0,0.0
nr_2022_nr033_akumulasi_penyusutan_aset_tetap,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR033_AKUMULASI_PENYUSUTAN_ASET_TETAP,AKUMULASI PENYUSUTAN,aset,-49096216572.0,0.0
nr_2022_nr034_nilai_buku_aset_tetap,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR034_NILAI_BUKU_ASET_TETAP,NILAI BUKU,aset,191443316629.0,0.0
nr_2022_nr035_aktiva_lain_lain,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR035_AKTIVA_LAIN_LAIN,AKTIVA LAIN-LAIN,aset,317221319.0,0.0
nr_2022_nr036_aset_piutang_lain,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR036_ASET_PIUTANG_LAIN,ASET PIUTANG LAIN,aset,0.0,0.0
nr_2022_nr037_aset_dalam_penyelesaian,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR037_ASET_DALAM_PENYELESAIAN,ASET DALAM PENYELESAIAN,aset,0.0,0.0
nr_2022_nr038_renovasi_bangunan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR038_RENOVASI_BANGUNAN,RENOVASI BANGUNAN YANG DISEWA,aset,189684506.0,0.0
nr_2022_nr039_uang_jaminan_proyek,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR039_UANG_JAMINAN_PROYEK,UANG JAMINAN PROYEK,aset,109024631.0,0.0
nr_2022_nr040_jaminan_bank_garansi,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR040_JAMINAN_BANK_GARANSI,JAMINAN BANK GARANSI,aset,20928555.0,0.0
nr_2022_nr041_total_aktiva,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR041_TOTAL_AKTIVA,TOTAL AKTIVA,aset,934802939274.0,0.0
nr_2022_nr042_total_pasiva_section,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR042_TOTAL_PASIVA_SECTION,TOTAL PASIVA,pasiva,915283201517.0,0.0
nr_2022_nr043_kewajiban_lancar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR043_KEWAJIBAN_LANCAR,KEWAJIBAN LANCAR,kewajiban,173198485721.0,0.0
nr_2022_nr044_hutang_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR044_HUTANG_PAJAK,HUTANG PAJAK,kewajiban,47797834013.0,0.0
nr_2022_nr045_bpjs_dplk,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR045_BPJS_DPLK,BY YMH DIBAYAR BPJS DAN DPLK,kewajiban,12070194977.0,0.0
nr_2022_nr046_hutang_dividen,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR046_HUTANG_DIVIDEN,HUTANG DIVIDEN,kewajiban,0.0,0.0
nr_2022_nr047_biaya_masih_harus_dibayar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR047_BIAYA_MASIH_HARUS_DIBAYAR,BIAYA YANG MASIH HARUS DIBAYAR,kewajiban,68102163786.0,0.0
nr_2022_nr048_pinjaman_modal_kerja,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR048_PINJAMAN_MODAL_KERJA,PINJAMAN MODAL KERJA,kewajiban,0.0,0.0
nr_2022_nr049_pinjaman_pemegang_saham,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR049_PINJAMAN_PEMEGANG_SAHAM,PINJAMAN KE PEMEGANG SAHAM,kewajiban,0.0,0.0
nr_2022_nr050_kewajiban_lancar_lainnya,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR050_KEWAJIBAN_LANCAR_LAINNYA,KEWAJIBAN LANCAR LAINNYA,kewajiban,51209044206.0,0.0
nr_2022_nr051_total_kewajiban_lancar,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR051_TOTAL_KEWAJIBAN_LANCAR,TOTAL KEWAJIBAN LANCAR,kewajiban,172637011426.0,0.0
nr_2022_nr053_kewajiban_jangka_panjang,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR053_KEWAJIBAN_JANGKA_PANJANG,KEWAJIBAN JANGKA PANJANG,kewajiban,180932496705.0,0.0
nr_2022_nr054_pinjaman_ki_bri,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR054_PINJAMAN_KI_BANK,PINJAMAN KI DARI BANK,kewajiban,0.0,0.0
nr_2022_nr055_kewajiban_imbalan_pasca_kerja,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR055_KEWAJIBAN_IMBALAN_PASCA_KERJA,KEWAJIBAN IMBALAN PASCA KERJA,kewajiban,175529114223.0,0.0
nr_2022_nr056_total_kewajiban_jangka_panjang,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR056_TOTAL_KEWAJIBAN_JANGKA_PANJANG,TOTAL KEWAJIBAN JANGKA PANJANG,kewajiban,179549134056.0,0.0
nr_2022_nr057_ekuitas,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR057_EKUITAS,EKUITAS,ekuitas,537861566213.0,0.0
nr_2022_nr058_cadangan_risiko_umum,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR058_CADANGAN_RISIKO_UMUM,CADANGAN RISIKO UMUM,ekuitas,26609671459.0,0.0
nr_2022_nr059_modal_saham,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR059_MODAL_SAHAM,MODAL SAHAM,ekuitas,9523100652.0,0.0
nr_2022_nr060_laba_ditahan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR060_LABA_DITAHAN,LABA DITAHAN,ekuitas,366616254184.0,0.0
nr_2022_nr061_laba_setelah_pajak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR061_LABA_SETELAH_PAJAK,LABA SETELAH PAJAK,ekuitas,0.0,0.0
nr_2022_nr062_total_ekuitas_sebelum_rl,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR062_TOTAL_EKUITAS_SEBELUM_RL,TOTAL EKUITAS SBLM R/L BERJALAN,ekuitas,408007310250.0,0.0
nr_2022_nr063_rugi_laba_tahun_lalu,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR063_RUGI_LABA_TAHUN_LALU,RUGI/LABA TAHUN LALU,ekuitas,119857403207.0,0.0
nr_2022_nr064_bagian_laba_perusahaan_anak,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR064_BAGIAN_LABA_PERUSAHAAN_ANAK,BAGIAN LABA PERUSAHAAN ANAK,ekuitas,10565556236.0,0.0
nr_2022_nr065_rugi_laba_tahun_berjalan,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR065_RUGI_LABA_TAHUN_BERJALAN,RUGI/LABA TAHUN BERJALAN,ekuitas,0.0,0.0
nr_2022_nr066_total_pasiva,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR066_TOTAL_PASIVA,TOTAL PASIVA,pasiva,926005794566.0,0.0
nr_2022_nr028_kendaraan_gross,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,NR028_KENDARAAN_GROSS,KENDARAAN UNTUK DISEWAKAN (GROSS),aset,7762385316.0,0.0
nr_2022_1101,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1101,Kas dan Setara Kas,aset,385036657471.0,0.0
nr_2022_1102,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1102,Piutang Bersih,aset,221176977649.0,0.0
nr_2022_1103,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1103,Aset Lancar Lainnya,aset,48028005416.0,0.0
nr_2022_1104,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1104,Aset Tidak Lancar,aset,238868301285.0,0.0
nr_2022_1105,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1105,Jumlah Piutang,aset,225044632947.0,0.0
nr_2022_1106,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,1106,Total Aset Lancar,aset,693935690739.0,0.0
nr_2022_2101,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,2101,Kewajiban Lancar,kewajiban,183086689211.0,0.0
nr_2022_2102,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,2102,Kewajiban Jangka Panjang,kewajiban,179393752563.0,0.0
nr_2022_3101,snapshot_istantoro_2022_mar_2026,2022,annual,2022,,3101,Ekuitas,ekuitas,547784395671.0,0.0
nr_2023_nr005_total_aset,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR005_TOTAL_ASET,TOTAL ASET,aset,1003841878715.0,0.0
nr_2023_nr006_aset_lancar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR006_ASET_LANCAR,ASET LANCAR,aset,735392550508.0,0.0
nr_2023_nr007_kas,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR007_KAS,KAS,aset,1073988005.0,0.0
nr_2023_nr008_bank,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR008_BANK,BANK,aset,91582261459.0,0.0
nr_2023_nr009_deposito,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR009_DEPOSITO,DEPOSITO,aset,158907717689.0,0.0
nr_2023_nr010_deposito_dijaminkan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR010_DEPOSITO_DIJAMINKAN,DEPOSITO YANG DI JAMINKAN,aset,184118353794.0,0.0
nr_2023_nr011_persediaan_meterai,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR011_PERSEDIAAN_METERAI,PERSEDIAAN METERAI,aset,76610421.0,0.0
nr_2023_nr012_surat_surat_berharga,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR012_SURAT_SURAT_BERHARGA,SURAT SURAT BERHARGA,aset,0.0,0.0
nr_2023_nr013_piutang_captive,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR013_PIUTANG_CAPTIVE,PIUTANG CAPTIVE,aset,133046188968.0,0.0
nr_2023_nr014_piutang_non_captive,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR014_PIUTANG_NON_CAPTIVE,PIUTANG NON CAPTIVE,aset,161886544769.0,0.0
nr_2023_nr015_piutang_jasa_pendidikan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR015_PIUTANG_JASA_PENDIDIKAN,PIUTANG JASA PENDIDIKAN,aset,1987138549.0,0.0
nr_2023_nr016_jumlah_piutang,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR016_JUMLAH_PIUTANG,JUMLAH PIUTANG,aset,278777435062.0,0.0
nr_2023_nr017_penyisihan_piutang,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR017_PENYISIHAN_PIUTANG,PENYISIHAN PENGHAPUSAN PIUTANG,aset,-18647455186.0,0.0
nr_2023_nr018_piutang_bersih,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR018_PIUTANG_BERSIH,PIUTANG BERSIH,aset,274720044910.0,0.0
nr_2023_nr019_piutang_lainnya,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR019_PIUTANG_LAINNYA,PIUTANG LAINNYA,aset,3136329697.0,0.0
nr_2023_nr020_piutang_inter_company,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR020_PIUTANG_INTER_COMPANY,PIUTANG INTER COMPANY,aset,0.0,0.0
nr_2023_nr021_uang_muka,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR021_UANG_MUKA,UANG MUKA,aset,7735522226.0,0.0
nr_2023_nr022_pajak_dibayar_dimuka,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR022_PAJAK_DIBAYAR_DIMUKA,PAJAK DIBAYAR DIMUKA,aset,19733138600.0,0.0
nr_2023_nr023_biaya_dibayar_dimuka,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR023_BIAYA_DIBAYAR_DIMUKA,BIAYA DIBAYAR DIMUKA,aset,1366038164.0,0.0
nr_2023_nr024_total_aktiva_lancar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR024_TOTAL_AKTIVA_LANCAR,TOTAL AKTIVA LANCAR,aset,745117185022.0,0.0
nr_2023_nr025_aktiva_tidak_lancar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR025_AKTIVA_TIDAK_LANCAR,AKTIVA TIDAK LANCAR,aset,231702825802.0,0.0
nr_2023_nr026_aset_lain_lain,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR026_ASET_LAIN_LAIN,ASET LAIN-LAIN,aset,28079467878.0,0.0
nr_2023_nr027_investasi_asosiasi,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR027_INVESTASI_ASOSIASI,INVESTASI DALAM ENTITAS ASOSIASI,aset,24389966278.0,0.0
nr_2023_nr028_kendaraan_disewakan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR028_KENDARAAN_DISEWAKAN,KENDARAAN UNTUK DISEWAKAN,aset,1817494999.0,0.0
nr_2023_nr029_akumulasi_penyusutan_kendaraan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR029_AKUMULASI_PENYUSUTAN_KENDARAAN,AKUMULASI PENYUSUTAN,aset,-5570967047.0,0.0
nr_2023_nr030_nilai_buku_kendaraan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR030_NILAI_BUKU_KENDARAAN,NILAI BUKU,aset,1826754160.0,0.0
nr_2023_nr031_aset_tetap,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR031_ASET_TETAP,ASET TETAP,aset,181663962914.0,0.0
nr_2023_nr032_harga_perolehan_aset_tetap,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR032_HARGA_PEROLEHAN_ASET_TETAP,HARGA PEROLEHAN AKTIVA TETAP,aset,239548265784.0,0.0
nr_2023_nr033_akumulasi_penyusutan_aset_tetap,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR033_AKUMULASI_PENYUSUTAN_ASET_TETAP,AKUMULASI PENYUSUTAN,aset,-57073176476.0,0.0
nr_2023_nr034_nilai_buku_aset_tetap,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR034_NILAI_BUKU_ASET_TETAP,NILAI BUKU,aset,185809913811.0,0.0
nr_2023_nr035_aktiva_lain_lain,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR035_AKTIVA_LAIN_LAIN,AKTIVA LAIN-LAIN,aset,3566377831.0,0.0
nr_2023_nr036_aset_piutang_lain,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR036_ASET_PIUTANG_LAIN,ASET PIUTANG LAIN,aset,0.0,0.0
nr_2023_nr037_aset_dalam_penyelesaian,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR037_ASET_DALAM_PENYELESAIAN,ASET DALAM PENYELESAIAN,aset,3152279028.0,0.0
nr_2023_nr038_renovasi_bangunan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR038_RENOVASI_BANGUNAN,RENOVASI BANGUNAN YANG DISEWA,aset,74393510.0,0.0
nr_2023_nr039_uang_jaminan_proyek,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR039_UANG_JAMINAN_PROYEK,UANG JAMINAN PROYEK,aset,104332914.0,0.0
nr_2023_nr040_jaminan_bank_garansi,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR040_JAMINAN_BANK_GARANSI,JAMINAN BANK GARANSI,aset,227139218.0,0.0
nr_2023_nr041_total_aktiva,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR041_TOTAL_AKTIVA,TOTAL AKTIVA,aset,998492479494.0,0.0
nr_2023_nr042_total_pasiva_section,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR042_TOTAL_PASIVA_SECTION,TOTAL PASIVA,pasiva,971928683809.0,0.0
nr_2023_nr043_kewajiban_lancar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR043_KEWAJIBAN_LANCAR,KEWAJIBAN LANCAR,kewajiban,185178402948.0,0.0
nr_2023_nr044_hutang_pajak,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR044_HUTANG_PAJAK,HUTANG PAJAK,kewajiban,35007016398.0,0.0
nr_2023_nr045_bpjs_dplk,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR045_BPJS_DPLK,BY YMH DIBAYAR BPJS DAN DPLK,kewajiban,52716746762.0,0.0
nr_2023_nr046_hutang_dividen,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR046_HUTANG_DIVIDEN,HUTANG DIVIDEN,kewajiban,0.0,0.0
nr_2023_nr047_biaya_masih_harus_dibayar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR047_BIAYA_MASIH_HARUS_DIBAYAR,BIAYA YANG MASIH HARUS DIBAYAR,kewajiban,87673782583.0,0.0
nr_2023_nr048_pinjaman_modal_kerja,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR048_PINJAMAN_MODAL_KERJA,PINJAMAN MODAL KERJA,kewajiban,0.0,0.0
nr_2023_nr049_pinjaman_pemegang_saham,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR049_PINJAMAN_PEMEGANG_SAHAM,PINJAMAN KE PEMEGANG SAHAM,kewajiban,0.0,0.0
nr_2023_nr050_kewajiban_lancar_lainnya,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR050_KEWAJIBAN_LANCAR_LAINNYA,KEWAJIBAN LANCAR LAINNYA,kewajiban,1841037535.0,0.0
nr_2023_nr051_total_kewajiban_lancar,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR051_TOTAL_KEWAJIBAN_LANCAR,TOTAL KEWAJIBAN LANCAR,kewajiban,184421667206.0,0.0
nr_2023_nr053_kewajiban_jangka_panjang,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR053_KEWAJIBAN_JANGKA_PANJANG,KEWAJIBAN JANGKA PANJANG,kewajiban,175097818622.0,0.0
nr_2023_nr054_pinjaman_ki_bri,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR054_PINJAMAN_KI_BANK,PINJAMAN KI DARI BANK,kewajiban,0.0,0.0
nr_2023_nr055_kewajiban_imbalan_pasca_kerja,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR055_KEWAJIBAN_IMBALAN_PASCA_KERJA,KEWAJIBAN IMBALAN PASCA KERJA,kewajiban,182118575591.0,0.0
nr_2023_nr056_total_kewajiban_jangka_panjang,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR056_TOTAL_KEWAJIBAN_JANGKA_PANJANG,TOTAL KEWAJIBAN JANGKA PANJANG,kewajiban,182720167348.0,0.0
nr_2023_nr057_ekuitas,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR057_EKUITAS,EKUITAS,ekuitas,619627415711.0,0.0
nr_2023_nr058_cadangan_risiko_umum,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR058_CADANGAN_RISIKO_UMUM,CADANGAN RISIKO UMUM,ekuitas,26009283578.0,0.0
nr_2023_nr059_modal_saham,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR059_MODAL_SAHAM,MODAL SAHAM,ekuitas,9196863425.0,0.0
nr_2023_nr060_laba_ditahan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR060_LABA_DITAHAN,LABA DITAHAN,ekuitas,562919850719.0,0.0
nr_2023_nr061_laba_setelah_pajak,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR061_LABA_SETELAH_PAJAK,LABA SETELAH PAJAK,ekuitas,0.0,0.0
nr_2023_nr062_total_ekuitas_sebelum_rl,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR062_TOTAL_EKUITAS_SEBELUM_RL,TOTAL EKUITAS SBLM R/L BERJALAN,ekuitas,569437728263.0,0.0
nr_2023_nr063_rugi_laba_tahun_lalu,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR063_RUGI_LABA_TAHUN_LALU,RUGI/LABA TAHUN LALU,ekuitas,0.0,0.0
nr_2023_nr064_bagian_laba_perusahaan_anak,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR064_BAGIAN_LABA_PERUSAHAAN_ANAK,BAGIAN LABA PERUSAHAAN ANAK,ekuitas,29210154659.0,0.0
nr_2023_nr065_rugi_laba_tahun_berjalan,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR065_RUGI_LABA_TAHUN_BERJALAN,RUGI/LABA TAHUN BERJALAN,ekuitas,0.0,0.0
nr_2023_nr066_total_pasiva,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR066_TOTAL_PASIVA,TOTAL PASIVA,pasiva,976731915310.0,0.0
nr_2023_nr028_kendaraan_gross,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,NR028_KENDARAAN_GROSS,KENDARAAN UNTUK DISEWAKAN (GROSS),aset,7795957890.0,0.0
nr_2023_1101,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1101,Kas dan Setara Kas,aset,437615345385.0,0.0
nr_2023_1102,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1102,Piutang Bersih,aset,263227157491.0,0.0
nr_2023_1103,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1103,Aset Lancar Lainnya,aset,32605273861.0,0.0
nr_2023_1104,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1104,Aset Tidak Lancar,aset,246686606249.0,0.0
nr_2023_1105,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1105,Jumlah Piutang,aset,286551193943.0,0.0
nr_2023_1106,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,1106,Total Aset Lancar,aset,759555428464.0,0.0
nr_2023_2101,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,2101,Kewajiban Lancar,kewajiban,177629338878.0,0.0
nr_2023_2102,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,2102,Kewajiban Jangka Panjang,kewajiban,176217567281.0,0.0
nr_2023_3101,snapshot_istantoro_2022_mar_2026,2023,annual,2023,,3101,Ekuitas,ekuitas,606733450513.0,0.0
nr_2024_nr005_total_aset,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,NR005_TOTAL_ASET,TOTAL ASET,aset,1044949578035.0,1091565797348.0
nr_2024_nr006_aset_lancar,snapshot_istantoro_2022_mar_2026,2024,annual,2024,,NR006_ASET_LANCAR,ASET LANCAR,aset,746655418136.0,818631250942.0
